short_descriptions,priority
IBP S&OP,2 - Normal
EDI,2 - Normal
HPQC,2 - Normal
HPQC,2 - Normal
External Promo Tool,2 - Normal
Master Data Management (MDM),2 - Normal
Master Data Management (MDM),2 - Normal
Master Data Management (MDM),2 - Normal
Topaz,2 - Normal
IE - Email auto reply,2 - Normal
HR - Blacklist sender and domain,2 - Normal
Active Directory and Citrix,2 - Normal
 Wave 2,2 - Normal
Active Directory and Citrix,2 - Normal
"Publish new version (2.1) of iOS App ""BD eSign""",2 - Normal
HR - e-mail assignment ,2 - Normal
RS - P22 password reset SCM,2 - Normal
Survey AT_HAUPTLIEFERANT_AB_2020_TEMP,2 - Normal
Account determinations,2 - Normal
GR - Please change PPL Data in XTPM,1 - Urgent
GR - Please change PPL Data in XTPM,2 - Normal
CZ - 2FA reset ,2 - Normal
IT - CHANGE IN PO RS,2 - Normal
GR - Activate contingency process - Greece,2 - Normal
Assign roles to ROX13098,2 - Normal
 Wave 2,2 - Normal
Related INC0857311 (change e-mail),2 - Normal
 Wave 2,2 - Normal
PL - remove open tasks from my INBOX,2 - Normal
GR - Assign access to ZYMC,1 - Urgent
Please add access shared mailbox,2 - Normal
Assign 1 MS Project Professional License,2 - Normal
increase number of images per scene for ir,2 - Normal
reindex and reorganize IMS SQL-DB on CHZRHWD1NEW - 10.201.160.71,2 - Normal
PL - Restore user accesses in SAP,1 - Urgent
Please block the domain @esphere.ru,2 - Normal
PL - Restore user accesses in AD,1 - Urgent
BA - Assign SAP roles ,2 - Normal
Missing access to Perform button,2 - Normal
Access to BICI,2 - Normal
VKOA missing settings for BSS mng fee account in 0754,2 - Normal
PL - Assign missing roles,2 - Normal
Pls assign role to users,2 - Normal
New User access - DSR LME,2 - Normal
 Wave 2,2 - Normal
Replace Position ID 60418713 with 60419061 (IKECHUKWU EKELEME) IN LOCATION 9438,1 - Urgent
AT-CMS-delete contract Schoeller Allibert,2 - Normal
Coppy access from P to Q system,2 - Normal
BSO - Investigate HR clearing S3,2 - Normal
GR - Removal of shipment,1 - Urgent
RO - change email,2 - Normal
3PL users pls create or refresch in Q-sys,2 - Normal
CY - Creation of User in Verint ,1 - Urgent
CY - Change mailbox,1 - Urgent
Add access for https://cchellenic.sharepoint.com/sites/documentsexchangeru-bybsope/Shared%20Documents/Forms/AllItems.aspx,2 - Normal
Final incidence rates update,2 - Normal
Office 365,2 - Normal
HU = Delete Contract Owner,2 - Normal
HR - Blacklist domain and sender,2 - Normal
Commercial Policy Site,2 - Normal
Re-process EDI message ORDERS,1 - Urgent
Commercial Policy Site,2 - Normal
 shared maibox ,2 - Normal
RS - Copy all roles from P to Q03,2 - Normal
Please block emails from sender June@mailvary.net,2 - Normal
Cisco AnyConnect Client installation,2 - Normal
Assign IONELA.ORODEL@CCHELLENIC.COM to RO913128,2 - Normal
HU - Shared mailbox creation,2 - Normal
IE - Block Sender & Domain,1 - Urgent
RU.EDI.Please register GLN for partner EVRONORD,2 - Normal
URGENT: Update of GR_OrderBlockDecisionTable,2 - Normal
Warehouse 040 bin type 24 to change and add,2 - Normal
Please block sender MAlthanon@hbku.edu.qa,2 - Normal
HR - Easy Travel privileges assign,2 - Normal
BSO - MDM Pass Reset,2 - Normal
PL - Issue with creating Vacation Request,2 - Normal
Access to send mail from Business Information Russia.RU.CCHBC <BusinessInformationRussia@cchellenic.com>.,2 - Normal
Assign access to Anthi Polka for P82,1 - Urgent
user deletion ,1 - Urgent
Disable users in AD according to inactivity check for more than 90 days.,2 - Normal
Żabka orders,1 - Urgent
CZ - User access ,2 - Normal
changed approver,2 - Normal
set a release strategy for cc 7545880003,2 - Normal
shared mailbox,2 - Normal
International movement inside CCH - Termination,2 - Normal
PL Remove user from mailing group,2 - Normal
Restar workflow,1 - Urgent
groups,2 - Normal
blacklist,2 - Normal
PL - acces to Citrix for users (instead of RITM0980951),1 - Urgent
acces to Citrix for users,1 - Urgent
BPMS access,2 - Normal
RO - block sender,2 - Normal
GR - Power BI PRO license upgrade,2 - Normal
RS- Add roles,2 - Normal
GR - Request_Authorization,2 - Normal
New ServiceNow Group,1 - Urgent
Смена номера ТК,2 - Normal
установить CITRIX,2 - Normal
Active Directory and Citrix,2 - Normal
Active Directory and Citrix,2 - Normal
Remote Access,2 - Normal
Office 365,2 - Normal
BG - Create new mail group,2 - Normal
Problem,2 - Normal
Internet Access,2 - Normal
 Wave 2,2 - Normal
Please block the email daniel@recollective.comas it's related to NC0858541,2 - Normal
Termination deletion,2 - Normal
 Wave 2,2 - Normal
HU - User access,2 - Normal
 Wave 2,2 - Normal
 Wave 2,2 - Normal
 Wave 2,2 - Normal
 Wave 2,2 - Normal
GR - DHCP Reservation,2 - Normal
Create service account CEO.Presentation@cchellenic.com,1 - Urgent
 Wave 2,2 - Normal
 Wave 2,2 - Normal
SAP ACCESS for RF105178 (Lyubov Kuzmenko) ,2 - Normal
Can't use e-mail,2 - Normal
RS - Activate 3PL user,2 - Normal
SAP ACCESS for Forklift Driver Istra,2 - Normal
PRJ-482 RGM Simulation Tools Enhancements,1 - Urgent
NG - Publish and Push eBest Smartcooler v2.6,1 - Urgent
RS || SAP IOM005 Authorization for YU004605,2 - Normal
CZ - USER access:  ml81n / migo / me51n,2 - Normal
Password reset,2 - Normal
HR - Blacklist sender and domain,2 - Normal
OSS ticket 93865 / 2020  - open connection to P13 and assign user to connection ,2 - Normal
new RS  for  CoE  in cc.0425,1 - Urgent
Office 365,2 - Normal
SK Stop and restart due to 2020 rerouting SLOVAKIA,2 - Normal
CI rules changes,2 - Normal
HU - HPQC Password,2 - Normal
delete 2FA account,2 - Normal
IE - Contingency Change Welcome message,2 - Normal
Linespeed assignment,2 - Normal
NG - Frequent MS Teams User in NG - Report Request,2 - Normal
AT - LAPS password missing,1 - Urgent
Active Directory and Citrix,2 - Normal
Easy Travel,2 - Normal
AirWatch,2 - Normal
Remote Access,2 - Normal
Remote Access,2 - Normal
CY - Create User ,1 - Urgent
LEARNING - Role correction RF123646 (Elena Zvereva),2 - Normal
GR - VPN Access ,1 - Urgent
CI Rates_Update,2 - Normal
RO - Online archive,2 - Normal
SK Re-routing Stop of master data update to BW,2 - Normal
Remote Access,2 - Normal
configure new AP for location FG_RU-Istra,2 - Normal
International movement inside CCH - Hiring,2 - Normal
RO - add group,1 - Urgent
HU - Add to Mailusers.Hungary,2 - Normal
SharePoint Site Limit Monitoring,2 - Normal
Access to the Sharepoint S&OP Database  to upload the Activity Review ,2 - Normal
create new territory,1 - Urgent
TREK - Wrong customer and payer P7901-8*32,2 - Normal
Active Directory and Citrix,2 - Normal
 Wave 2,2 - Normal
 Wave 2,2 - Normal
acces to Citrix for users,2 - Normal
Internet Access,2 - Normal
Office 365,2 - Normal
CY - User access,1 - Urgent
Incidence rates and prices update according to NEM,2 - Normal
Release strategies creation ,1 - Urgent
IT- Admin role in Helo // ref.cases  RITM0978054 & RITM0978056 & RITM0978055,1 - Urgent
CY - User access,1 - Urgent
BSO - Access to the folder,2 - Normal
AT - Please open new 3PL account,1 - Urgent
Access to SAP CRM (Hs3),2 - Normal
ifsa Lite in CCH App store,2 - Normal
Windows password Reset,2 - Normal
SAP ACCESS for RF128841 (Aleksandr Holosha),2 - Normal
 Wave 2,2 - Normal
 Wave 2,2 - Normal
At the user incorrectly listed at mailbox in active directory.,2 - Normal
CZ-2Fa reset ,1 - Urgent
Assigning roles to users,1 - Urgent
Permit Whatsup for all users when connected via Cisco AnyConnect,2 - Normal
 Wave 2,2 - Normal
New setup group keys,2 - Normal
Delete below survey's from iFSA mobile Productive environment.,2 - Normal
 Wave 2,2 - Normal
Please remove orders in TLB,2 - Normal
CZ- issue with printronics printer 8000 ,1 - Urgent
Reset Password,2 - Normal
PL MIGO,2 - Normal
 Wave 2,2 - Normal
New MAM User by061075,2 - Normal
Renew personal certificate,2 - Normal
Rafael Martinez Valera requests access to : Treasury Operations <treasury.operations@cchellenic.com>,2 - Normal
CZ-based on RITM0980380 -INC0858226  ,1 - Urgent
PL wrong end data in IDM,1 - Urgent
Active Directory and Citrix,2 - Normal
Cisco AnyConnect installation,1 - Urgent
Release employees\drop PCR,2 - Normal
CZ-2FA reset ,1 - Urgent
Please move the User Object from OU - Disabled User to Active Users,2 - Normal
 Wave 2,2 - Normal
 Wave 2,2 - Normal
Please adjust Austria Callcenter workinghours,1 - Urgent
Active Directory and Citrix,2 - Normal
Office 365,2 - Normal
 Wave 2,2 - Normal
 Wave 2,2 - Normal
 Wave 2,2 - Normal
 Wave 2,2 - Normal
 Wave 2,2 - Normal
 Wave 2,2 - Normal
Active Directory and Citrix,2 - Normal
 Wave 2,2 - Normal
 Wave 2,2 - Normal
 Wave 2,2 - Normal
 Wave 2,2 - Normal
 Wave 2,2 - Normal
 Wave 2,2 - Normal
Create SD,2 - Normal
Active Directory and Citrix,2 - Normal
Active Directory and Citrix,2 - Normal
Remote Access,2 - Normal
 Wave 2,2 - Normal
Additional access rights on our pc.,2 - Normal
CZ-new VPN certificate generate,1 - Urgent
Active Directory and Citrix,2 - Normal
SAP ACCESS for RU702556 (Vladimir Tsetsulin),2 - Normal
Remote Access,2 - Normal
Remote Access,2 - Normal
Internet Access,2 - Normal
AT - is not able to log into the Inbound Queue,2 - Normal
Business role correction -RU522892 (Tatyana Yagodina),2 - Normal
SAP ACCESS for RU522892 (Tatyana Yagodina),2 - Normal
PL - Employee Sales Orders,2 - Normal
DAISY,2 - Normal
 Wave 2,2 - Normal
Planon,2 - Normal
HPQC,2 - Normal
HPQC,2 - Normal
Office 365,2 - Normal
Office 365,2 - Normal
Active Directory and Citrix,2 - Normal
CTI,2 - Normal
LMS,2 - Normal
 Wave 2,2 - Normal
CTI,2 - Normal
DAISY,2 - Normal
MK - Role assignment ,2 - Normal
Remote Access,2 - Normal
MK - Role assignment ,2 - Normal
Please change my name in all systems/email address from Edvin to Edwin (via W),2 - Normal
CZ - W disk assign / Follow INC0858178,2 - Normal
Pls create users in HPQC,2 - Normal
PL - Dhcp reservation,2 - Normal
Pls assign access to query usergroups for Verena Forsthuber,2 - Normal
Office 365,2 - Normal
Remote Access,2 - Normal
Pls assign role for SQ00 to user Alexandra Thomik,2 - Normal
GR - New Cisco AnyConnect Certificate,1 - Urgent
 Wave 2,2 - Normal
HR - mailing group ,2 - Normal
Import to Q,2 - Normal
HPQC,2 - Normal
HR - Block sender ,2 - Normal
IT - reopen days of 19/03 and 20/03 in iFSA ,1 - Urgent
GR - Access on WHM & SNP BW reports,1 - Urgent
IT - Use a certified email provider for sending Cooler placement/move contract emails,2 - Normal
whitelist,2 - Normal
HR - Block Sender  INC0858153,2 - Normal
URGENT: Please assign users (related to Segmented execution Italy),1 - Urgent
Exclude CRs from charging,2 - Normal
Distribution group_BI Loading Status Group  ,1 - Urgent
ABAP/4 for PRJ-2141,2 - Normal
BS002044,1 - Urgent
new shared maibox ,2 - Normal
BSO - access to folder on  share point S3,2 - Normal
CH Survey Upload to Q and finally to P (HS3),2 - Normal
International movement inside CCH - Hiring,2 - Normal
"OSS ""138024 / 2020 Optimizer run finished with error"" P22 connection",2 - Normal
COIN righst,2 - Normal
CH Survey Upload to Q and finally to P (HS3),2 - Normal
SAP access for user BS002025,1 - Urgent
Add Users to Assignment group G SNOW EXT ATOS MM&HIC 2 / related to CHG0065907,2 - Normal
Reporting role in P57 Seasonal review tool,1 - Urgent
AT - Add Query group,1 - Urgent
HU - All open activities delete on 27th March 2020 for HU,2 - Normal
IC update SO 4500,2 - Normal
Correction of assigned country and approver for CHG0066843,1 - Urgent
 Wave 2,2 - Normal
GR - Assign Roles,2 - Normal
HU - All reassignments delete on 27th March 2020 for HU,2 - Normal
New pre-stage bins creation,2 - Normal
 Wave 2,2 - Normal
HU - Automatic visit generation stop from 23rd March 2020 for HU,2 - Normal
Assign Power BI Pro license for admin user,1 - Urgent
IT - Check access\policies provided through AD groups,2 - Normal
SSF Access,2 - Normal
OpCo access rights in Helo,1 - Urgent
 Wave 2,2 - Normal
Financial closing cockpit_Russia_March 2020,2 - Normal
 Wave 2,2 - Normal
AT - shared mailbox access,1 - Urgent
GR - Access to e mails data base from past years | Following RITM0980399,2 - Normal
GR - Access to e mails data base from past years | Following RITM0980399,2 - Normal
GR - Access to e mails data base from past years | Following RITM0980399,2 - Normal
 Wave 2,2 - Normal
CZ  -  block temporary following meeting rooms/based on RITM0979482,1 - Urgent
activate softphones for  Call agents,1 - Urgent
Restoring data and realignment,1 - Urgent
CZ  -  block temporary following meeting rooms/based on RITM0979482,1 - Urgent
RS - SAP role to add,2 - Normal
PL - Reset 2FA,1 - Urgent
"Please, copy today Data to Target / COBRA cubes",2 - Normal
Ro - access for VPN,2 - Normal
Access,2 - Normal
CZSK - personall certificate for remote access for SDQ00431,1 - Urgent
 Wave 2,2 - Normal
RS - add roles,2 - Normal
CZSK - personall certificate for remote access for SDQ00452,1 - Urgent
PL - Missing tab.,2 - Normal
Create Mail Accounts,2 - Normal
CH - Outlook Display Name,2 - Normal
PL - Request to add accesses,2 - Normal
PL - Add additional access ,2 - Normal
Access to Drive,2 - Normal
Report: All.CCHBC@cchellenic.com,2 - Normal
SAP ACCESS for RF127357(Mariya Kuznetsova),2 - Normal
IT- Change approver on RITM0980400,1 - Urgent
Create Mail Account,2 - Normal
change owner of change request CHG0063704 ,2 - Normal
 please change CTI number 53367 binding to new employee Svetlana Svetlana Aleksandrovna Lukashina RF128795.,2 - Normal
CZ - Please upload the ZHR table CZSK asap,1 - Urgent
Add users to lines,2 - Normal
Create New External User,2 - Normal
 Wave 2,2 - Normal
CZSK - personall certificate for remote access for SDQ00435,1 - Urgent
CZSK - personall certificate for remote access for SDQ00494,1 - Urgent
IE - Modify access,2 - Normal
PCR,2 - Normal
IT - assign SAP role ,2 - Normal
 Wave 2,2 - Normal
HR - Blacklist sender and domain,2 - Normal
2 users add roles,1 - Urgent
Add to ZFI_NTD_POSSIBLE,2 - Normal
deactivate 2FA - 2FA is stuck - user cant logon anymore,2 - Normal
BSO - Access for RPA,1 - Urgent
AD access for user BS001526,1 - Urgent
RO - Create distribution list,2 - Normal
roles for SSF General Ledger Accrual,2 - Normal
Please provide access to Sap Analytics Cloud tool for user ru013605 with rights to create models.,2 - Normal
GR - Access to e mails data base from past years,2 - Normal
IBP S&OP,2 - Normal
Create SD,2 - Normal
HR infoline ru,2 - Normal
RO - Request to delete all uploaded files in SDO,2 - Normal
new screensaver for CCHBC Russia,2 - Normal
CZSK - personall certificate for remot access for SDQ00404,1 - Urgent
IE - assign email license for ie191088,1 - Urgent
 Wave 2,2 - Normal
SAP connection related to OSS message 181512 / 2020 - Q22 system,2 - Normal
CZ-2FA reset ,2 - Normal
pl bin,2 - Normal
SAP ACCESS for RF128835 (Rustem Muhametov),2 - Normal
CZ - reset 2FA,1 - Urgent
PL - restore folder. ,2 - Normal
Please remove old notification from sap inbox,2 - Normal
CZ- 2FA reset ,1 - Urgent
SAP ACCESS for RU933798 (Vladimir Kazimirenok),2 - Normal
RS - add roles,2 - Normal
Phishing e-mail,2 - Normal
HR || Block Sender | INC0857835,2 - Normal
Office 365,2 - Normal
Please grant access to CTI Manager and Verint ,2 - Normal
SAP Hybris Creation APP Access,1 - Urgent
GR - Assign series to user,2 - Normal
PL - maping network printer. ,2 - Normal
Change office licences for maternity leave staff ,2 - Normal
Please change owner in group  in MS Teams,2 - Normal
MK - Change user type from Service to Dialog ,2 - Normal
UA change core switch for MPLS,1 - Urgent
Report: CCHBC All Employees (CCHBC.All.Employees@cchellenic.com),1 - Urgent
Overdue task deadline extension,1 - Urgent
Basse on INC0857096 Alina.Silicheva@cchellenic.com,2 - Normal
BA - Block sender eueamelitagh@outlook.com,2 - Normal
IE - block sender,2 - Normal
Please delete contract from archive and return back to db with status Approved.,1 - Urgent
HU - Monika ,2 - Normal
Overdue tasks deadline extension,1 - Urgent
Reporting role in P57 Seasonal review tool,1 - Urgent
SAP ACCESS for RF053468 (Yuliya Teryaeva),2 - Normal
IE - block sender,2 - Normal
HQ000861 Elsa Papachristopoulou - Access to CS,1 - Urgent
CZ- acces to share disc,1 - Urgent
UA  change subnet for Zaporozhy,1 - Urgent
Reassignment SSF 8003536905,2 - Normal
Access rights for Treasury.Cash.Management@cchellenic.com,1 - Urgent
QUATA LIMIT INCREASE,2 - Normal
INC0857721,2 - Normal
G SNOW RU SD ALL2 - DP/How-to,2 - Normal
Visio assign group for Fotis.Papazafeiropoulos@cchellenic.com,1 - Urgent
GR - Wave 2,1 - Urgent
Active Directory name change request,2 - Normal
CH - Change of owner of a Teams Group,1 - Urgent
SAP access for user BS001526,1 - Urgent
HR - Reset 2FA app,1 - Urgent
Please could you load CAM001 and CAM033,2 - Normal
SAP User Seraina Kunz (CH012855) has no label printer access,2 - Normal
 Wave 2,2 - Normal
Please exclude CHG0065984 from Centrally Closing/Reverse,2 - Normal
CH - Create 8 new users with Viewer Licence in SAC,2 - Normal
 Wave 2,2 - Normal
Office 365,2 - Normal
 Wave 2,2 - Normal
Office 365,2 - Normal
 Wave 2,2 - Normal
HR || VPN Access HRX00510 ,2 - Normal
Office 365,2 - Normal
AT - Edelstal - please revise following server settings on Edestal ESX Hosts,2 - Normal
Office 365,2 - Normal
SAC Viewer access,2 - Normal
AT Edelstal - please revise following settings on switch,2 - Normal
territory creation,2 - Normal
"HU - Rename meeting room, and Create new meeting room",2 - Normal
need authorization for SAF-T - tr. /n/TJC/AEC,2 - Normal
change name of email,2 - Normal
BSO - User start date change,2 - Normal
IT- Assign roles to user // ref.case INC0857406,1 - Urgent
GR - Removal of shipments from tour monitor,1 - Urgent
CZ  -  Deleting CAM001 targets for CZ and SK.,2 - Normal
Create a Dynamic Outlook Group CCHBC All Employees (CCHBC.All.Employees@cchellenic.com),1 - Urgent
Please add users to mail group CATMAN <CATMAN@cchellenic.com>,2 - Normal
add roles,1 - Urgent
BSO - Email change,2 - Normal
AT Edelstal - please check routing on ATEDTFG01/02,1 - Urgent
Create territory codes,2 - Normal
"Mass changes for RU users - Inactive SAP users deletion, Q1 2020",2 - Normal
BPC access for user BS002021,1 - Urgent
Remote access ,2 - Normal
Reprocess the INVRPT file Gigante,1 - Urgent
delete 2FA account,2 - Normal
SD VPN certificate,2 - Normal
Access needed,1 - Urgent
IT- LME updtae in Head role assignement IT031143,2 - Normal
CZ - Reset user password Planon,2 - Normal
BSO - Change email with same User ID,2 - Normal
RU.CMS.Please create Z-Position.,2 - Normal
Office 365,2 - Normal
CY RED new launches  submission,2 - Normal
Write offs and small adjustments,2 - Normal
BSO - New Verint for user in SST Valeri Tchorbadjiev BS001766,1 - Urgent
Active Directory and Citrix,2 - Normal
ONB,2 - Normal
768752 CS TALENT ACQUISITION RFQ02458 (Viktoriya Kuptsova),2 - Normal
 Wave 2,2 - Normal
PL - Wave 2,2 - Normal
PL - Wave 2,2 - Normal
PL - Active Directory and Citrix,2 - Normal
PL - Office 365,2 - Normal
BSO - New CTI for new user in SST BS001766,1 - Urgent
PL - Internet Access,2 - Normal
Office 365,2 - Normal
Increase Storage,2 - Normal
 Wave 2,2 - Normal
Active Directory and Citrix,2 - Normal
CZ-acces to share disks / based on IDM RITM0980097 (wrong category),2 - Normal
Please create online archive for user vladimir.vorontsov@cchellenic.com,2 - Normal
Please add user to group,2 - Normal
Please grant Easy Travel special access to BS001422 - Stefan Stoyanov,2 - Normal
Create new data admin - Mezentseva Yuliya - groups ARU0 and ARU1,2 - Normal
 Wave 2,2 - Normal
Office 365,2 - Normal
Approvers update,1 - Urgent
Delete Surveys from iFSA Productive Environment,2 - Normal
NG - Survey Creation,2 - Normal
Office 365,2 - Normal
Video Room Conf.(Blue Jeans with Polycom and Ext.),2 - Normal
Telephone Conferencing for Office 365,2 - Normal
HPQC,2 - Normal
Office 365,2 - Normal
 Wave 2,2 - Normal
 Wave 2,2 - Normal
 Wave 2,2 - Normal
 Wave 2,2 - Normal
Please reload CAM001,2 - Normal
 Wave 2,2 - Normal
blacklist sender,1 - Urgent
 Wave 2,2 - Normal
Easy Travel,2 - Normal
HPQC,2 - Normal
IE - Block sender | ref. INC0857470,1 - Urgent
Pls create routes in AT ,2 - Normal
IT - CHANGE IN PO - PREQ RS ,2 - Normal
 Wave 2,2 - Normal
 Wave 2,2 - Normal
HR - Request for Training Administration authorizations in HELO,2 - Normal
RS for PO Sch HQ,1 - Urgent
HR - Request for Training Administration authorizations in HELO,2 - Normal
ua change MPLS in Zaporozhy,1 - Urgent
HR - Request for Training Administration authorizations in HELO,2 - Normal
Access Data Missing D02400,2 - Normal
PL - SAP ,2 - Normal
 Wave 2,2 - Normal
Import to Q,2 - Normal
reset password for Q13 for Fractal users,2 - Normal
add roles,1 - Urgent
Add and delete users,2 - Normal
OM PROFILES/PARAMETERS/QUERY GROUPS  for RF120697 (Nikita Orlov) ,2 - Normal
Missing accounts and CC in BSS receiving entity - BSO fees,2 - Normal
NG - Setup SAP Printers,2 - Normal
CZ - add license  G Office365 License E3,1 - Urgent
IT - Blacklist domain for email communications,2 - Normal
Remote Access,2 - Normal
Remote Access,2 - Normal
Remote Access,2 - Normal
GR - Youth Empowered Hub,2 - Normal
Remote Access,2 - Normal
ordered and confrimed quantity,2 - Normal
IT - New VPN certificate needed,1 - Urgent
AT - Create new storage bin types,2 - Normal
CH - IDM Tickets stuck,2 - Normal
Assign license for Ilko Dragiev,1 - Urgent
Delete user,2 - Normal
Button Creation to AC-Win in zug PBX for forward,1 - Urgent
Access for YU003988,2 - Normal
SPC user access,2 - Normal
Please move the User Object from OU - Disabled User to User,2 - Normal
AT - E-Mail missing in AD,2 - Normal
BPM Error Handling,2 - Normal
Add access,2 - Normal
Office 365,2 - Normal
Covid19 - Custom Care relocation - SoftPhone for CTI RS,1 - Urgent
Role access as per CHG0066706,1 - Urgent
 Wave 2,2 - Normal
Office 365,2 - Normal
assign roles,1 - Urgent
Active Directory and Citrix,2 - Normal
Internet Access,2 - Normal
CH - account prolongation request,2 - Normal
Grant access to HPQC for BY059537,2 - Normal
URGENT: create attached marketing attribute values in D/Q/P 54,1 - Urgent
